itermax,k,xp,yp,iteration
5,1,0,4340.27777777778,1
5,1,52.0833333333333,4296.875,1
5,1,78.125,4257.8125,1
5,1,104.166666666665,4218.75,1
5,1,156.249999999995,4140.625,1
5,1,156.25,4140.62499999999,1
5,1,208.333333333333,4062.5,1
5,1,234.375,4023.4375,1
5,1,260.416666666667,3984.375,1
5,1,285.326086956521,3906.25,1
5,1,312.5,3871.52777777778,1
5,1,364.58333333333,3828.125,1
5,1,390.625,3789.06249999999,1
5,1,416.666666666664,3750,1
5,1,441.576086956521,3671.875,1
5,1,468.75,3637.15277777778,1
5,1,520.833333333333,3593.75,1
5,1,546.875,3554.6875,1
5,1,572.916666666665,3515.625,1
5,1,624.999999999995,3437.5,1
5,1,625,3437.49999999999,1
5,1,677.083333333333,3359.375,1
5,1,703.125,3320.3125,1
5,1,729.166666666667,3281.25,1
5,1,754.076086956521,3203.125,1
5,1,781.25,3168.40277777778,1
5,1,833.33333333333,3125,1
5,1,859.375,3085.93749999999,1
5,1,885.416666666662,3046.875,1
5,1,910.326086956521,2968.75,1
5,1,937.5,2934.02777777778,1
5,1,989.583333333333,2890.625,1
5,1,1015.625,2851.5625,1
5,1,1041.66666666667,2812.5,1
5,1,1093.75,2734.375,1
5,1,1093.75,2734.37499999999,1
5,1,1145.83333333333,2656.25,1
5,1,1171.875,2617.1875,1
5,1,1197.91666666667,2578.125,1
5,1,1222.82608695652,2500,1
5,1,1250,2495.1171875,1
5,1,1328.125,2490.234375,1
5,1,1406.25,2480.46875,1
5,1,1484.375,2470.703125,1
5,1,1562.5,2460.9375,1
5,1,1640.625,2451.171875,1
5,1,1718.75,2441.40625,1
5,1,1796.875,2431.640625,1
5,1,1847.82608695652,2421.875,1
5,1,1875,2416.9921875,1
5,1,1953.125,2412.109375,1
5,1,2031.25,2402.34375,1
5,1,2109.375,2392.578125,1
5,1,2187.5,2382.8125,1
5,1,2265.625,2373.046875,1
5,1,2343.75,2363.28125,1
5,1,2421.875,2353.515625,1
5,1,2472.82608695652,2343.75,1
5,1,2500,2338.8671875,1
5,1,2578.125,2301.43229166667,1
5,1,2644.23076923077,2265.625,1
5,1,2656.25,2259.11458333333,1
5,1,2734.375,2216.796875,1
5,1,2788.46153846154,2187.5,1
5,1,2812.5,2174.47916666667,1
5,1,2890.625,2154.94791666667,1
5,1,2968.75,2148.4375,1
5,1,3046.875,2141.92708333333,1
5,1,3125,2135.41666666667,1
5,1,3203.125,2128.90625,1
5,1,3281.25,2122.39583333333,1
5,1,3359.375,2115.88541666667,1
5,1,3389.42307692308,2109.375,1
5,1,3437.5,2100.18382352941,1
5,1,3515.625,2102.86458333333,1
5,1,3593.75,2096.35416666667,1
5,1,3671.875,2089.84375,1
5,1,3750,2083.33333333333,1
5,1,3828.125,2076.82291666667,1
5,1,3906.25,2070.3125,1
5,1,3984.375,2063.80208333333,1
5,1,4062.5,2057.29166666667,1
5,1,4140.625,2050.78125,1
5,1,4218.75,2044.27083333333,1
5,1,4296.875,2037.76041666667,1
5,1,4326.92307692308,2031.25,1
5,1,4375,2022.05882352941,1
5,1,4453.125,2024.73958333333,1
5,1,4531.25,2018.22916666667,1
5,1,4609.375,2011.71875,1
5,1,4687.5,2005.20833333333,1
5,1,4765.625,1998.69791666667,1
5,1,4843.75,1992.1875,1
5,1,4921.875,1985.67708333333,1
5,1,5000,1979.16666666667,1
5,1,0,4340.27777777778,2
5,1,39.0625,4296.875,2
5,1,55.8035714285711,4218.75,2
5,1,78.125,4184.02777777778,2
5,1,117.187500000002,4140.625,2
5,1,133.928571428572,4062.5,2
5,1,156.25,4027.77777777778,2
5,1,195.312499999998,3984.375,2
5,1,212.053571428571,3906.25,2
5,1,234.375,3871.52777777778,2
5,1,273.4375,3828.125,2
5,1,290.178571428571,3750,2
5,1,312.5,3715.27777777778,2
5,1,351.5625,3671.875,2
5,1,368.303571428572,3593.75,2
5,1,390.625,3559.02777777778,2
5,1,429.6875,3515.625,2
5,1,446.428571428571,3437.5,2
5,1,468.75,3402.77777777778,2
5,1,507.8125,3359.375,2
5,1,524.553571428571,3281.25,2
5,1,546.875,3246.52777777778,2
5,1,585.9375,3203.125,2
5,1,602.678571428571,3125,2
5,1,625,3090.27777777778,2
5,1,664.062500000002,3046.875,2
5,1,680.803571428572,2968.75,2
5,1,703.125,2934.02777777778,2
5,1,742.1875,2890.625,2
5,1,758.928571428571,2812.5,2
5,1,781.25,2777.77777777778,2
5,1,820.312499999998,2734.375,2
5,1,837.053571428572,2656.25,2
5,1,859.375,2621.52777777778,2
5,1,898.4375,2578.125,2
5,1,915.178571428571,2500,2
5,1,937.5,2477.67857142857,2
5,1,993.303571428571,2421.875,2
5,1,1015.625,2399.55357142857,2
5,1,1071.42857142857,2343.75,2
5,1,1093.75,2321.42857142857,2
5,1,1149.55357142857,2265.625,2
5,1,1171.875,2243.30357142857,2
5,1,1227.67857142857,2187.5,2
5,1,1250,2165.17857142857,2
5,1,1328.125,2187.5,2
5,1,1406.25,2165.17857142857,2
5,1,1484.375,2187.5,2
5,1,1562.5,2165.17857142857,2
5,1,1640.625,2161.45833333333,2
5,1,1718.75,2135.41666666667,2
5,1,1762.15277777778,2109.375,2
5,1,1796.875,2092.92763157895,2
5,1,1875,2083.33333333333,2
5,1,1953.125,2057.29166666667,2
5,1,1996.52777777778,2031.25,2
5,1,2031.25,2014.80263157895,2
5,1,2109.375,2005.20833333333,2
5,1,2187.5,1979.16666666667,2
5,1,2230.90277777778,1953.125,2
5,1,2265.625,1936.67763157895,2
5,1,2343.75,1927.08333333333,2
5,1,2421.875,1901.04166666667,2
5,1,2465.27777777778,1875,2
5,1,2500,1858.55263157895,2
5,1,2578.125,1822.91666666667,2
5,1,2617.1875,1796.875,2
5,1,2656.25,1770.83333333333,2
5,1,2712.05357142857,1718.75,2
5,1,2734.375,1702.30263157895,2
5,1,2812.5,1666.66666666667,2
5,1,2851.5625,1640.625,2
5,1,2890.625,1614.58333333333,2
5,1,2946.42857142857,1562.5,2
5,1,2968.75,1546.05263157895,2
5,1,3046.875,1510.41666666667,2
5,1,3085.9375,1484.375,2
5,1,3125,1458.33333333333,2
5,1,3203.125,1406.25,2
5,1,3203.125,1406.25,2
5,1,3281.25,1354.16666666667,2
5,1,3320.3125,1328.125,2
5,1,3359.375,1302.08333333333,2
5,1,3415.17857142857,1250,2
